name,distance,planet_type,orbital_radius,orbital_period,hostname,mass,esi,st_temp,st_radius,st_mass
Kepler-1752 b,3141.0,Neptune-like,0.2698,0.15441479,Kepler-1752,18.7,0.33392583,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1753 b,2308.0,Neptune-like,0.1179,0.043805614,Kepler-1753,5.59,0.30659205,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1754 b,2345.0,Neptune-like,0.0718,0.022450376,Kepler-1754,6.53,0.26030822,4723.0,0.747,0.734
Kepler-1755 b,3205.0,Neptune-like,0.1668,0.0678987,Kepler-1755,29.4,0.14917232,6086.0,0.921,1.003
Kepler-1756 b,2167.1687368622206,Super Earth,0.0319,0.006570842,Kepler-1756,2.77,0.28417408,4915.0,0.812,0.781
Kepler-1757 b,2633.0,Neptune-like,0.1335,0.053935662,Kepler-1757,8.99,0.26186907,5130.0,0.493,0.9393564616929898
Kepler-1758 b,5181.0,Neptune-like,0.0919,0.027378507,Kepler-1758,7.13,0.23105808,5818.0,0.87,0.982
Kepler-1759 b,1257.0,Terrestrial,0.0429,0.010130048,Kepler-1759,0.676,0.30143471,4837.0,0.78,0.78
Kepler-175 b,4281.0,Neptune-like,0.105,0.032580424,Kepler-175,7.08,0.23704435,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-175 c,4281.0,Neptune-like,0.213,0.09308693,Kepler-175,9.8,0.24082148,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1760 b,2167.1687368622206,Neptune-like,0.2084,0.10485968,Kepler-1760,5.86,0.3358355,5266.0,0.84,0.9393564616929898
Kepler-1761 b,722.0,Super Earth,0.0413,0.0109514035,Kepler-1761,2.51,0.31782276,3767.0,0.479,0.488
Kepler-1762 b,5427.0,Neptune-like,0.204,0.080766596,Kepler-1762,8.05,0.24357644,6350.0,1.15,1.21
Kepler-1763 b,2468.0,Super Earth,0.0257,0.0041067763,Kepler-1763,1.59,0.29173347,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1764 b,5032.0,Neptune-like,0.3512,0.19301848,Kepler-1764,18.8,0.21367738,6085.02,1.45028,1.14
Kepler-1765 b,2494.0,Neptune-like,0.0917,0.028473647,Kepler-1765,6.78,0.24567604,5692.0,1.064,0.946
Kepler-1766 b,1635.0,Neptune-like,0.4229,0.28747433,Kepler-1766,5.81,0.3792457,5788.86,1.21593,1.039
Kepler-1767 b,2676.0,Neptune-like,0.2873,0.16344969,Kepler-1767,9.34,0.45576513,5172.78,0.697975,0.88
Kepler-1768 b,2064.0,Neptune-like,0.1286,0.041341547,Kepler-1768,5.62,0.25439134,5705.0,0.911,0.902
Kepler-1769 b,1430.0,Neptune-like,0.3987,0.24421628,Kepler-1769,18.2,0.26519546,6032.0,1.167,0.9393564616929898
Kepler-176 b,1720.0,Super Earth,0.058,0.014784395,Kepler-176,2.63,0.29368041,5048.0,0.85,0.9393564616929898
Kepler-176 c,1720.0,Neptune-like,0.102,0.03504449,Kepler-176,23.0,0.25926336,5048.0,0.85,0.9393564616929898
Kepler-176 d,1720.0,Super Earth,0.163,0.07063655,Kepler-176,15.2,0.31131308,5048.0,0.85,0.9393564616929898
Kepler-176 e,1720.0,Super Earth,0.2494,0.14017797,Kepler-176,2.7,0.46938016,5048.0,0.85,0.9393564616929898
Kepler-1770 b,1902.0,Neptune-like,0.1261,0.04599589,Kepler-1770,8.45,0.24769975,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1771 b,1845.0,Neptune-like,0.3815,0.24257357,Kepler-1771,15.5,0.34870009,5861.0,0.872,0.966
Kepler-1772 b,2843.0,Neptune-like,0.0418,0.008761123,Kepler-1772,7.68,0.22319048,5544.0,2.12,1.07
Kepler-1773 b,2222.0,Neptune-like,0.2489,0.11170431,Kepler-1773,12.1,0.22017513,6041.0,1.154,0.9393564616929898
Kepler-1774 b,2664.0,Neptune-like,0.3096,0.16372347,Kepler-1774,10.2,0.27450094,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1775 b,2143.0,Neptune-like,0.3986,0.2346338,Kepler-1775,12.9,0.28548033,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1776 b,2252.0,Neptune-like,0.2124,0.09582478,Kepler-1776,7.33,0.26420619,6345.0,1.012,1.067
Kepler-1777 b,2020.0,Neptune-like,0.1031,0.03340178,Kepler-1777,5.19,0.26318551,6286.0,1.97,1.35
Kepler-1778 b,4163.0,Neptune-like,0.0956,0.027652293,Kepler-1778,9.36,0.21789748,6343.0,1.137,1.213
